time,x,y,z
0.000000,0.122522,0.724852,1.666314
0.033333,0.155910,0.672387,1.689540
0.066666,0.198580,0.630953,1.723955
0.099999,0.245713,0.601648,1.767828
0.133332,0.293065,0.584334,1.818949
0.166665,0.337298,0.577942,1.874822
0.199998,0.376137,0.580809,1.932893
0.233331,0.408364,0.591015,1.990752
0.266664,0.436825,0.612819,2.062640
0.299997,0.453816,0.638372,2.125887
0.333330,0.464661,0.663262,2.173626
0.366663,0.472413,0.684449,2.203519
0.399996,0.480797,0.699793,2.220207
0.433329,0.491772,0.709399,2.222742
0.466662,0.505025,0.713887,2.218054
0.499995,0.519320,0.714063,2.207077
0.533328,0.533881,0.711009,2.191322
0.566661,0.547900,0.705250,2.172547
0.599994,0.560280,0.697320,2.152125
0.633327,0.570234,0.687747,2.131241
0.666660,0.577421,0.676991,2.111465
0.699993,0.581469,0.665409,2.091992
0.733326,0.582114,0.653894,2.071980
0.766659,0.579805,0.644813,2.048035
0.799992,0.574516,0.638250,2.016382
0.833325,0.564225,0.634574,1.976370
0.866658,0.547216,0.632168,1.927487
0.899991,0.521471,0.628532,1.871977
0.933324,0.485991,0.621576,1.815435
0.966657,0.440525,0.612718,1.764995
0.999990,0.387847,0.603479,1.726290
1.033323,0.330822,0.596027,1.701358
1.066656,0.273786,0.591206,1.689289
1.099989,0.220060,0.587958,1.686982
1.133322,0.172130,0.584864,1.690717
1.166655,0.130813,0.579912,1.697046
1.199988,0.097904,0.571590,1.702728
1.233321,0.074350,0.561074,1.706383
1.266654,0.059993,0.549765,1.707121
1.299987,0.054691,0.539274,1.705203
1.333320,0.055760,0.530650,1.701009
1.366653,0.063421,0.525549,1.695360
1.399986,0.076965,0.521787,1.690190
1.433319,0.095398,0.518925,1.687704
1.466652,0.119175,0.515532,1.691014
1.499985,0.151224,0.512315,1.703020
1.533318,0.188539,0.511731,1.726161
1.566651,0.230979,0.516913,1.763778
1.599984,0.273259,0.530679,1.816429
1.633317,0.308877,0.553958,1.882161
1.666650,0.332580,0.585221,1.955596
1.699983,0.341699,0.621537,2.030383
1.733316,0.337514,0.657643,2.099490
1.766649,0.324864,0.689561,2.157004
1.799982,0.309987,0.715987,2.197881
