time,x,y,z
0.000000,0.238745,-0.408136,1.739919
0.033333,0.290244,-0.384541,1.744169
0.066666,0.340551,-0.360359,1.750910
0.099999,0.389843,-0.336023,1.760567
0.133332,0.438300,-0.311898,1.773643
0.166665,0.486069,-0.288295,1.790749
0.199998,0.533221,-0.265483,1.812653
0.233331,0.579689,-0.243708,1.840313
0.266664,0.635212,-0.217646,1.886239
0.299997,0.685030,-0.194516,1.941722
0.333330,0.725216,-0.178755,2.002162
0.366663,0.755512,-0.166072,2.065092
0.399996,0.775834,-0.156496,2.126205
0.433329,0.787504,-0.150248,2.180993
0.466662,0.792945,-0.149595,2.228638
0.499995,0.794195,-0.152836,2.267241
0.533328,0.792752,-0.159679,2.297354
0.566661,0.790342,-0.169183,2.316715
0.599994,0.785574,-0.182172,2.335957
0.633327,0.779770,-0.197740,2.350622
0.666660,0.773764,-0.215232,2.361307
0.699993,0.768099,-0.234532,2.368128
0.733326,0.763338,-0.254026,2.371500
0.766659,0.760708,-0.273116,2.371780
0.799992,0.759531,-0.293354,2.369055
0.833325,0.758809,-0.312727,2.366452
0.866658,0.757785,-0.331421,2.364225
0.899991,0.756012,-0.350544,2.362341
0.933324,0.753239,-0.370701,2.360398
0.966657,0.749611,-0.391371,2.356342
0.999990,0.744965,-0.413009,2.348900
1.033323,0.739359,-0.435981,2.335967
1.066656,0.733335,-0.459045,2.317662
1.099989,0.727649,-0.481622,2.292904
1.133322,0.727816,-0.503846,2.232307
1.166655,0.722101,-0.526127,2.185253
1.199988,0.714275,-0.548086,2.126180
1.233321,0.700821,-0.570263,2.057949
1.266654,0.678238,-0.590935,1.984007
1.299987,0.644022,-0.609269,1.910632
1.333320,0.598942,-0.625521,1.843813
1.366653,0.543539,-0.641753,1.788931
1.399986,0.482936,-0.657424,1.748816
1.433319,0.421689,-0.671977,1.724245
1.466652,0.362586,-0.685339,1.713179
1.499985,0.310717,-0.696689,1.712875
1.533318,0.269995,-0.703979,1.719281
1.566651,0.244167,-0.707032,1.728395
1.599984,0.234864,-0.705963,1.737856
1.633317,0.240440,-0.701372,1.746339
1.666650,0.259131,-0.693880,1.754189
1.699983,0.287271,-0.685592,1.762384
1.733316,0.319401,-0.677570,1.771240
1.766649,0.352881,-0.670948,1.781505
1.799982,0.385657,-0.665698,1.792785
1.833315,0.416032,-0.662593,1.805334
1.866648,0.445135,-0.660801,1.818560
1.899981,0.472248,-0.659964,1.833289
1.933314,0.496266,-0.660475,1.849305
1.966647,0.517956,-0.661998,1.867128
1.999980,0.535426,-0.664181,1.885482
2.033313,0.550348,-0.667266,1.905082
2.066646,0.562625,-0.670254,1.925788
2.099979,0.571021,-0.673066,1.946119
2.133312,0.576211,-0.676428,1.966120
2.166645,0.578909,-0.680275,1.985694
2.199978,0.579345,-0.684870,2.004737
2.233311,0.577508,-0.690848,2.022806
2.266644,0.572809,-0.699156,2.038558
2.299977,0.563918,-0.710334,2.050985
2.333310,0.549571,-0.723901,2.059022
2.366643,0.528936,-0.739166,2.061507
2.399976,0.501398,-0.755111,2.057637
2.433309,0.467212,-0.770612,2.046991
2.466642,0.428398,-0.783698,2.030588
2.499975,0.385396,-0.792777,2.009714
2.533308,0.340010,-0.796696,1.987472
2.566641,0.292943,-0.795482,1.966038
2.599974,0.246735,-0.791223,1.948010
2.633307,0.201408,-0.781192,1.928995
2.666640,0.157554,-0.766861,1.911098
2.699973,0.107683,-0.740699,1.888556
2.733306,0.069410,-0.720202,1.871817
2.766639,0.031909,-0.699118,1.855318
2.799972,0.000030,-0.678671,1.838559
2.833305,-0.023835,-0.662328,1.821097
2.866638,-0.041458,-0.651157,1.802767
2.899971,-0.050476,-0.646625,1.784728
2.933304,-0.048810,-0.648359,1.768253
2.966637,-0.035332,-0.656472,1.754878
2.999970,0.000403,-0.678030,1.748228
3.033303,0.038477,-0.689096,1.742215
3.066636,0.078651,-0.697157,1.738338
3.099969,0.117412,-0.702033,1.734649
3.133302,0.154703,-0.705741,1.731990
3.166635,0.187444,-0.708060,1.728541
3.199968,0.218981,-0.709331,1.725811
3.233301,0.248601,-0.709021,1.724154
3.266634,0.281286,-0.705868,1.724579
3.299967,0.316151,-0.700262,1.727944
3.333300,0.351261,-0.691313,1.734567
3.366633,0.389126,-0.678488,1.746540
3.399966,0.426828,-0.662845,1.763856
