time,x,y,z
0.008000,1.005584,0.182345,0.585006
0.042000,1.005542,0.182269,0.584999
0.075000,1.005305,0.182572,0.584992
0.108000,1.005355,0.182461,0.584972
0.142000,1.005580,0.182240,0.584956
0.175000,1.005363,0.182338,0.584946
0.208000,1.005510,0.182490,0.584938
0.242000,1.005510,0.182490,0.584938
0.275000,1.005330,0.182152,0.584960
0.308000,1.005409,0.182244,0.584934
0.342000,1.005635,0.182102,0.584986
0.376000,1.005370,0.182108,0.584939
0.408000,1.005370,0.182108,0.584939
0.442000,1.005409,0.181917,0.584917
0.477000,1.005380,0.181889,0.584951
0.508000,1.005561,0.182232,0.584978
0.542000,1.005512,0.181894,0.584928
0.575000,1.013167,0.183606,0.588173
0.608000,1.025102,0.186466,0.596310
0.642000,1.041921,0.188686,0.609556
0.675000,1.058358,0.193642,0.623671
0.708000,1.058358,0.193642,0.623671
0.742000,1.070355,0.202946,0.636045
0.775000,1.081254,0.211118,0.647433
0.808000,1.087728,0.213174,0.653472
0.842000,1.092267,0.214728,0.658018
0.875000,1.102963,0.214663,0.668261
0.908000,1.114869,0.210360,0.679479
0.942000,1.127003,0.206698,0.692922
0.975000,1.136126,0.204244,0.704527
1.008000,1.137503,0.204044,0.706480
1.042000,1.144611,0.203040,0.714343
1.077000,1.154545,0.205286,0.720315
1.108000,1.162261,0.206181,0.723846
1.142000,1.165193,0.206575,0.725134
1.175000,1.176007,0.208125,0.730118
1.208000,1.189135,0.209324,0.736713
1.242000,1.201085,0.209654,0.743815
1.276000,1.201569,0.209669,0.744104
1.308000,1.211056,0.208833,0.749561
1.342000,1.218945,0.207845,0.756349
1.375000,1.221776,0.206513,0.759787
1.409000,1.222892,0.204882,0.754313
1.442000,1.222842,0.204745,0.753344
1.475000,1.221660,0.202884,0.741237
1.508000,1.218549,0.200012,0.724404
1.542000,1.213901,0.196465,0.707926
1.575000,1.213003,0.195594,0.704935
1.608000,1.209104,0.191658,0.694375
1.642000,1.204836,0.185199,0.684551
1.675000,1.203073,0.179954,0.680648
1.708000,1.202605,0.178160,0.679880
1.742000,1.203780,0.167653,0.680220
1.775000,1.206047,0.167570,0.683673
1.808000,1.209449,0.167827,0.689311
1.842000,1.209662,0.167771,0.690809
1.876000,1.208878,0.167798,0.690510
1.909000,1.206920,0.167442,0.689147
1.942000,1.200973,0.170259,0.684180
1.975000,1.194201,0.175851,0.679503
2.009000,1.187288,0.183676,0.677636
2.042000,1.187288,0.183676,0.677636
2.075000,1.188369,0.190898,0.688218
2.108000,1.191788,0.195847,0.700572
2.142000,1.192724,0.195893,0.703254
2.175000,1.198501,0.191015,0.718072
2.208000,1.200570,0.188001,0.723469
2.243000,1.203795,0.183181,0.732655
2.275000,1.207911,0.174561,0.746832
2.308000,1.210989,0.167653,0.762650
2.342000,1.211126,0.167523,0.763610
2.375000,1.212906,0.166778,0.780124
2.408000,1.213390,0.166810,0.791738
2.442000,1.213431,0.167039,0.797169
2.475000,1.212664,0.166648,0.814816
2.508000,1.212223,0.166824,0.819350
2.542000,1.211636,0.167066,0.832161
2.575000,1.215055,0.166505,0.842140
2.608000,1.218099,0.166887,0.849288
2.642000,1.218099,0.166887,0.849288
2.675000,1.219808,0.168056,0.847230
2.708000,1.221466,0.169659,0.845122
2.742000,1.221825,0.170085,0.844860
2.777000,1.224074,0.171166,0.845451
2.808000,1.224074,0.171166,0.845451
2.842000,1.225999,0.171270,0.847968
2.875000,1.227520,0.171412,0.851492
2.908000,1.228004,0.170919,0.853020
2.942000,1.228732,0.170711,0.855926
2.975000,1.228900,0.169866,0.859379
3.008000,1.228453,0.169255,0.860930
3.042000,1.226892,0.169252,0.861432
3.076000,1.223925,0.169516,0.859315
3.108000,1.223925,0.169516,0.859315
3.142000,1.221272,0.170608,0.854959
3.175000,1.219939,0.173258,0.846242
3.208000,1.219961,0.174670,0.840033
3.242000,1.220539,0.178164,0.820412
3.276000,1.220550,0.178768,0.817081
3.308000,1.220815,0.179978,0.799059
3.342000,1.219774,0.180065,0.772523
3.376000,1.216673,0.177635,0.750790
3.408000,1.216254,0.177135,0.748511
3.442000,1.211354,0.174521,0.732613
3.475000,1.204214,0.172324,0.716869
3.508000,1.198489,0.172509,0.708018
3.542000,1.188866,0.175585,0.697269
3.575000,1.188542,0.175776,0.696985
3.608000,1.185345,0.181352,0.694208
3.642000,1.183700,0.187723,0.693463
3.675000,1.183891,0.190809,0.694924
3.708000,1.185113,0.197105,0.699562
3.743000,1.189603,0.205087,0.711581
3.775000,1.189788,0.205342,0.712019
3.808000,1.194213,0.211473,0.723911
3.842000,1.199547,0.217550,0.736466
3.875000,1.199547,0.217550,0.736466
3.908000,1.203535,0.221466,0.747087
3.942000,1.207078,0.220759,0.758074
3.975000,1.210040,0.219970,0.763997
4.008000,1.213266,0.219637,0.771801
4.042000,1.218080,0.217759,0.784219
4.075000,1.218265,0.217427,0.785478
4.108000,1.220305,0.216734,0.793987
4.142000,1.221088,0.216796,0.799515
4.175000,1.221165,0.216695,0.800688
4.208000,1.222019,0.215850,0.804721
4.242000,1.222686,0.214851,0.809780
4.275000,1.223445,0.213500,0.813838
4.308000,1.223650,0.213149,0.814696
4.343000,1.224463,0.210333,0.820577
4.375000,1.224870,0.208554,0.822136
4.408000,1.224512,0.207320,0.823035
4.442000,1.224510,0.206996,0.823156
4.475000,1.224564,0.206657,0.822760
4.508000,1.224632,0.206221,0.821530
4.542000,1.225193,0.205764,0.819938
4.575000,1.224965,0.206461,0.817000
4.608000,1.224812,0.206547,0.816780
4.642000,1.224691,0.206465,0.817121
4.675000,1.224093,0.204778,0.821509
4.708000,1.222804,0.201885,0.829026
4.742000,1.221905,0.199985,0.831774
4.775000,1.218827,0.193210,0.843305
4.808000,1.217606,0.190934,0.847463
4.842000,1.214612,0.187065,0.853673
4.875000,1.211679,0.182073,0.859358
4.911000,1.210222,0.179814,0.859091
4.942000,1.210048,0.179436,0.858972
4.975000,1.211857,0.178367,0.853062
5.008000,1.213720,0.178301,0.847792
5.042000,1.214819,0.177879,0.844976
5.076000,1.216723,0.179446,0.838469
5.108000,1.217022,0.179609,0.837641
5.142000,1.217425,0.179901,0.837473
5.175000,1.216420,0.179914,0.839800
5.208000,1.214416,0.180236,0.842529
5.242000,1.214416,0.180236,0.842529
5.276000,1.211021,0.180272,0.845491
5.308000,1.207547,0.181827,0.847737
5.342000,1.201515,0.183752,0.850035
5.375000,1.195186,0.185727,0.851527
5.408000,1.195186,0.185727,0.851527
5.443000,1.193657,0.186478,0.849314
5.475000,1.193311,0.187082,0.847442
5.509000,1.193139,0.186961,0.846822
5.542000,1.192329,0.186964,0.847152
5.575000,1.192080,0.186702,0.847356
5.608000,1.191717,0.185991,0.849590
5.642000,1.191273,0.183738,0.853638
5.675000,1.190326,0.180885,0.860541
5.709000,1.190326,0.180885,0.860541
5.742000,1.188748,0.178945,0.866707
5.775000,1.187944,0.177838,0.869584
5.808000,1.186976,0.177079,0.872121
5.843000,1.185633,0.175617,0.877075
5.875000,1.185513,0.175488,0.877444
5.909000,1.184346,0.173926,0.880533
5.942000,1.182760,0.172733,0.883448
5.975000,1.181520,0.171864,0.884702
6.008000,1.181520,0.171864,0.884702
6.043000,1.180507,0.173181,0.883225
6.075000,1.180507,0.173181,0.883225
6.108000,1.179980,0.174489,0.880747
6.142000,1.179403,0.176520,0.877366
6.176000,1.179403,0.176520,0.877366
6.208000,1.179072,0.179264,0.874328
6.242000,1.183312,0.181325,0.866489
6.276000,1.183593,0.181368,0.866117
6.309000,1.187496,0.181953,0.860881
6.342000,1.189733,0.181635,0.858532
6.376000,1.191354,0.180773,0.857167
6.408000,1.195324,0.177913,0.855058
6.442000,1.197870,0.175043,0.853833
6.475000,1.197870,0.175043,0.853833
6.508000,1.201366,0.172782,0.850487
6.542000,1.210582,0.169882,0.836517
6.575000,1.212114,0.169372,0.833332
6.608000,1.218146,0.168621,0.816461
6.642000,1.219648,0.168479,0.809798
6.675000,1.220821,0.168710,0.801709
6.708000,1.222422,0.170383,0.774903
6.742000,1.220906,0.172915,0.757514
6.775000,1.219810,0.174395,0.750856
6.809000,1.218069,0.176183,0.742130
6.842000,1.216070,0.178706,0.734912
6.875000,1.213951,0.183690,0.726922
6.910000,1.214883,0.187204,0.726852
6.942000,1.215226,0.187968,0.726835
6.975000,1.216877,0.189886,0.729889
7.008000,1.219263,0.191541,0.734131
7.042000,1.221393,0.191119,0.740210
7.075000,1.225771,0.188510,0.753264
7.108000,1.229298,0.184140,0.767382
7.142000,1.229365,0.184041,0.767669
7.176000,1.231803,0.178462,0.781370
7.209000,1.232656,0.173462,0.794166
7.242000,1.232782,0.171560,0.799408
7.275000,1.232700,0.168254,0.807327
7.308000,1.231840,0.165116,0.820849
7.342000,1.230131,0.163482,0.834043
7.375000,1.228100,0.163221,0.847677
7.408000,1.228100,0.163221,0.847677
7.443000,1.227657,0.163506,0.859628
7.475000,1.226657,0.163185,0.862709
7.508000,1.225953,0.162989,0.864000
7.543000,1.225066,0.163189,0.865017
7.576000,1.223490,0.162918,0.866538
7.609000,1.223490,0.162918,0.866538
7.642000,1.222301,0.162477,0.866303
7.675000,1.220537,0.163987,0.864091
7.708000,1.220537,0.163987,0.864091
7.742000,1.220479,0.167373,0.856572
7.775000,1.222289,0.170615,0.846897
7.808000,1.223389,0.172507,0.840969
7.843000,1.225783,0.178441,0.820207
7.875000,1.226196,0.179968,0.814483
7.908000,1.226276,0.184972,0.794976
7.942000,1.224692,0.189560,0.774599
7.976000,1.219771,0.194278,0.745032
8.008000,1.219771,0.194278,0.745032
8.042000,1.212629,0.195755,0.720769
8.075000,1.208357,0.194581,0.711096
8.108000,1.206868,0.192850,0.707912
8.143000,1.205035,0.187482,0.703648
