time,x,y,z
0.008000,1.005526,-0.182263,0.584990
0.042000,1.005513,-0.182172,0.584984
0.075000,1.005595,-0.182183,0.584972
0.108000,1.005312,-0.181947,0.584912
0.142000,1.005570,-0.182270,0.584961
0.175000,1.005530,-0.182174,0.584994
0.208000,1.005433,-0.182393,0.584954
0.242000,1.005433,-0.182393,0.584954
0.275000,1.005211,-0.181571,0.584875
0.308000,1.005146,-0.181820,0.584883
0.342000,1.005454,-0.182010,0.584989
0.376000,1.005616,-0.181925,0.584975
0.408000,1.005616,-0.181925,0.584975
0.442000,1.005435,-0.182471,0.584955
0.477000,1.005385,-0.182880,0.584939
0.508000,1.005418,-0.182549,0.584994
0.542000,1.005652,-0.182250,0.585031
0.575000,1.013063,-0.184794,0.585224
0.608000,1.024952,-0.189816,0.587080
0.642000,1.040737,-0.197463,0.592003
0.675000,1.055465,-0.206007,0.600317
0.708000,1.055465,-0.206007,0.600317
0.742000,1.066943,-0.213655,0.608518
0.775000,1.078193,-0.219867,0.616856
0.808000,1.084644,-0.222538,0.622470
0.842000,1.089519,-0.224120,0.626703
0.875000,1.100342,-0.228011,0.637123
0.908000,1.112125,-0.232076,0.649644
0.942000,1.124263,-0.236229,0.664240
0.975000,1.133559,-0.239188,0.676675
1.008000,1.134959,-0.239700,0.678714
1.042000,1.141353,-0.241943,0.688564
1.077000,1.148757,-0.244248,0.700971
1.108000,1.153959,-0.245514,0.710397
1.142000,1.155938,-0.245763,0.714030
1.175000,1.162931,-0.245324,0.726978
1.208000,1.172470,-0.238083,0.741678
1.242000,1.180136,-0.230302,0.756382
1.276000,1.180228,-0.229972,0.756975
1.308000,1.181117,-0.223731,0.768430
1.342000,1.177300,-0.217660,0.779607
1.375000,1.173576,-0.214047,0.785616
1.409000,1.165547,-0.209098,0.799252
1.442000,1.164755,-0.208835,0.800631
1.475000,1.160463,-0.207593,0.809030
1.508000,1.158598,-0.209195,0.813605
1.542000,1.157975,-0.210820,0.818545
1.575000,1.157718,-0.211348,0.819323
1.608000,1.156917,-0.213216,0.822608
1.642000,1.155321,-0.214322,0.826077
1.675000,1.154919,-0.215164,0.827878
1.708000,1.155089,-0.215267,0.828054
1.742000,1.163434,-0.226239,0.810851
1.775000,1.166451,-0.231215,0.799119
1.808000,1.167715,-0.237978,0.778088
1.842000,1.165825,-0.240082,0.757820
